4827BRT;03/03/2026;08:00:17;C
9153CLX;03/03/2026;08:01:42;ECO
1048DMN;03/03/2026;08:02:05;SIN DISTINTIVO
7732FVS;03/03/2026;08:03:58;B
6601GYP;03/03/2026;08:04:33;C
2984HJK;03/03/2026;08:05:21;0
8450KTR;03/03/2026;08:06:49;0
3907LWN;03/03/2026;08:07:12;0
5579MBZ;03/03/2026;08:08:54;ECO
2316BSC;03/03/2026;08:09:08;0
7642CRY;03/03/2026;08:10:36;ECO
1185DVP;03/03/2026;08:11:27;SIN DISTINTIVO
9024FZT;03/03/2026;08:12:59;SIN DISTINTIVO
4471GML;03/03/2026;08:13:44;0
6830HXR;03/03/2026;08:14:11;SIN DISTINTIVO
2597KPN;03/03/2026;08:15:39;ECO
7318LTS;03/03/2026;08:16:02;0
5463MVR;03/03/2026;08:17:48;B
8702BXL;03/03/2026;08:18:14;ECO
1934CFP;03/03/2026;08:19:57;B
6628DRZ;03/03/2026;08:20:06;B
5081FNY;03/03/2026;08:21:41;C
3490GTP;03/03/2026;08:22:25;B
7814HRS;03/03/2026;08:23:53;ECO
2269KWB;03/03/2026;08:24:19;B
9540LZD;03/03/2026;08:25:32;B
3176MXS;03/03/2026;08:26:47;C
6408BTR;03/03/2026;08:27:09;B
8751CPN;03/03/2026;08:28:51;C
1293DLS;03/03/2026;08:29:13;ECO
7026FVR;03/03/2026;08:30:38;SIN DISTINTIVO
5584GZN;03/03/2026;08:31:22;ECO
9347HYP;03/03/2026;08:32:45;ECO
2860KRM;03/03/2026;08:33:04;0
6119LTX;03/03/2026;08:34:56;SIN DISTINTIVO
4735MBR;03/03/2026;08:35:29;C
8201BWN;03/03/2026;08:36:34;ECO
1678CZS;03/03/2026;08:37:18;SIN DISTINTIVO
9042DRV;03/03/2026;08:38:07;0
3589FPN;03/03/2026;08:39:52;0
7421GXT;03/03/2026;08:40:23;ECO
6154HVR;03/03/2026;08:41:46;C
2890KYS;03/03/2026;08:42:11;0
8307LBN;03/03/2026;08:43:55;B
1946MTR;03/03/2026;08:44:37;C
5612BXP;03/03/2026;08:45:03;B
9783CWN;03/03/2026;08:46:40;SIN DISTINTIVO
2435DFR;03/03/2026;08:47:26;ECO
6849FZS;03/03/2026;08:48:12;ECO
3197GRT;03/03/2026;08:49:58;B
8526HNP;03/03/2026;08:50:21;B
4703KVS;03/03/2026;08:51:43;B
1284LXR;03/03/2026;08:52:09;ECO
9901MBN;03/03/2026;08:53:36;C
5570BZT;03/03/2026;08:54:24;B
3016CPR;03/03/2026;08:55:51;ECO
7468DWN;03/03/2026;08:56:17;0
2149FYS;03/03/2026;08:57:42;SIN DISTINTIVO
6835GVR;03/03/2026;08:58:05;SIN DISTINTIVO
9057HZN;03/03/2026;08:59:33;ECO
3724KRP;03/03/2026;09:00:14;0
6180LTS;03/03/2026;09:01:48;SIN DISTINTIVO
4572MXL;03/03/2026;09:02:31;B
8093BVR;03/03/2026;09:03:06;ECO
1765CNP;03/03/2026;09:04:55;SIN DISTINTIVO
9340DRS;03/03/2026;09:05:19;ECO
5208FWT;03/03/2026;09:06:44;B
7819GYR;03/03/2026;09:07:02;C
2637HXB;03/03/2026;09:08:37;0
6491KZN;03/03/2026;09:09:23;0
1180LPR;03/03/2026;09:10:59;C
8724MBT;03/03/2026;09:11:16;B
4307BNS;03/03/2026;09:12:41;0
6958CRV;03/03/2026;09:13:28;0
2519DYP;03/03/2026;09:14:53;C
9045FTR;03/03/2026;09:15:07;C
3170GWN;03/03/2026;09:16:46;B
7682HZS;03/03/2026;09:17:12;SIN DISTINTIVO
5824KXR;03/03/2026;09:18:35;ECO
1493LVP;03/03/2026;09:19:58;0
9936MRT;03/03/2026;09:20:04;SIN DISTINTIVO
2607BXL;03/03/2026;09:21:27;B
7348CPN;03/03/2026;09:22:49;ECO
4185DRT;03/03/2026;09:23:18;C
6809FVP;03/03/2026;09:24:56;C
9071GYS;03/03/2026;09:25:33;SIN DISTINTIVO
3514HZN;03/03/2026;09:26:12;B
7290KTR;03/03/2026;09:27:45;B
5648LXN;03/03/2026;09:28:03;ECO
1827MVS;03/03/2026;09:29:51;SIN DISTINTIVO
8459BPR;03/03/2026;09:30:26;C
3701CZT;03/03/2026;09:31:09;B
6924DWN;03/03/2026;09:32:57;SIN DISTINTIVO
2548FYS;03/03/2026;09:33:14;SIN DISTINTIVO
9132GVR;03/03/2026;09:34:39;ECO
4806HXT;03/03/2026;09:35:22;C
7615KZN;03/03/2026;09:36:48;B
3294LRS;03/03/2026;09:37:05;0
6087MBP;03/03/2026;09:38:31;SIN DISTINTIVO
1742BVT;03/03/2026;09:39:54;SIN DISTINTIVO
